hgnc_id	symbol	name	location_sortable	alias_symbol
HGNC:5	A1BG	alpha-1-B glycoprotein	19q13.43	
HGNC:24086	A1CF	APOBEC1 complementation factor	10q11.23	"ACF|ASP|ACF64|ACF65|APOBEC1CF"
HGNC:7	A2M	alpha-2-macroglobulin	12p13.31	"FWP007|S863-7|CPAMD5"
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	12p13.31	"FLJ25179|p170"
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	01p35.1	"IGBS3S|IGB3S"
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	22q13.2	"A14GALT|Gb3S|P(k)"
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	03q22.3	alpha4GnT
HGNC:13666	AAAS	aladin WD repeat nucleoporin	12q13.13	
HGNC:21298	AACS	acetoacetyl-CoA synthetase	12q24.31	"FLJ12389|SUR-5|ACSF1"
HGNC:17	AADAC	arylacetamide deacetylase	03q25.1	"DAC|CES5A1"
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	03q25.1	MGC72001
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	01p36.21	OTTHUMG00000001887
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	01p36.21	OTTHUMG00000001889
HGNC:17929	AADAT	aminoadipate aminotransferase	04q33	"KATII|KAT2|KYAT2"
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	15q23	"FLJ11506|p34"
HGNC:19679	AAK1	AP2 associated kinase 1	02p13.3	"KIAA1048|DKFZp686K16132"
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	11q14.1	"PTD015|FLJ21035|CK067"
HGNC:18	AAMP	angio associated migratory cell protein	02q35	
HGNC:19	AANAT	aralkylamine N-acetyltransferase	17q25.1	SNAT
HGNC:15886	AAR2	AAR2 splicing factor	20q11.23	bA234K24.2
HGNC:33842	AARD	alanine and arginine rich domain containing protein	08q24.11	LOC441376
HGNC:20	AARS1	alanyl-tRNA synthetase 1	16q22.1	"CMT2N|AlaRS"
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	06p21.1	"KIAA1270|bA444E17.1"
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	17q21.31	"MGC2744|AlaXp"
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	04q12	"NRPS998|LYS2|ACSF4"
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	11q22.3	"LYS5|CGI-80|AASD-PPT|ACPS"
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	07q31.32	"LORSDH|LKRSDH"
HGNC:19235	AATF	apoptosis antagonizing transcription factor	17q12	"DED|CHE-1|CHE1|BFR2"
HGNC:21	AATK	apoptosis associated tyrosine kinase	17q25.3	"AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77"
HGNC:23	ABAT	4-aminobutyrate aminotransferase	16p13.2	"GABAT|GABA-T"
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	09q31.1	TGD
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	09q34.3	
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	16p13.3	"ABC-C|EST111653|LBM180"
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	01p22.1	"FFM|ARMD2|CORD3"
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	17q24.3	EST90625
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	17q24.2-q24.3	EST155051
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	19p13.3	ABCX
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	17q24.2	KIAA0822
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	17q24.2	EST640918
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	17q24.3	EST698739
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	02q35	"DKFZP434G232|LI2"
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	07p12.3	"FLJ33876|FLJ33951"
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	07q21.12	"P-gp|CD243|GP170|ABC20|p-170"
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	07q21.12	"MDR2|PFIC-3|GBD1"
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	07p21.1	"EST422562|ABCB5beta|ABCB5alpha"
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	02q35	"EST45597|umat|MTABC3"
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Xq13.3	"EST140535|Atm1p|ASAT"
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	07q36.1	"EST328128|M-ABC1|MABC1|MITOSUR"
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	12q24.31	EST122234
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	01q42.13	"EST20237|M-ABC2|MTABC2"
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	02q31.1	"ABC16|SPGP|PFIC-2|PGY4"
